"","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracELT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracERT","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.fracsym","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanELT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meanERT","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.meansym","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numELT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numERT","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym","co.numsym"
"11",0.009349,0.010247,0.03094,0.015368,0.024141,0.036933,0.004003,0.044519,0.009505,0.011354,0.022535,0.001829,0.004415,0.043322,0.043419,0.011414,0.009264,0.026286,0.015186,0.027025,0.015263,0.039564,0.003003,0.016041,0.013941,0.009329,0.034763,0.041592,0.008893,0.017231,67.7463768115942,66.9738562091503,61.3888888888889,43.0476190476191,60.3525,50.6625514403292,54.8356164383562,56.0692695214106,62.9470198675497,48.1101694915254,59.3026315789474,70.3461538461538,93.936170212766,60.5902097902098,59.1539509536785,50.7288888888889,47.5076923076923,56.5290322580645,60.744,56.5376569037657,48.7635782747604,33.7576791808874,55.6111111111111,40.8167938931298,42.8953846153846,33.0815602836879,36.2114583333333,34.9806560134567,37.5232067510549,40.2593457943925,138,153,504,357,400,729,73,794,151,236,380,26,47,715,734,225,195,465,250,478,313,1172,54,393,325,282,960,1189,237,428
"12",1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"13",8.7e-05,8.3e-05,9e-05,8.3e-05,8.5e-05,8.4e-05,7.9e-05,8.8e-05,8.2e-05,8.8e-05,9.1e-05,8.6e-05,8.5e-05,8.4e-05,8.8e-05,8.8e-05,8.4e-05,9.3e-05,8.4e-05,9e-05,8.9e-05,8.9e-05,8.5e-05,8.5e-05,8.9e-05,8.3e-05,8.5e-05,9.3e-05,8.2e-05,8.6e-05,87,83,90,83,85,84,79,88,82,88,91,86,85,84,88,88,84,93,84,90,89,89,85,85,89,83,85,93,82,86,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",3.7e-05,4.2e-05,4e-05,4.1e-05,4e-05,4.7e-05,3.9e-05,4.1e-05,4.4e-05,4.9e-05,4e-05,3.9e-05,4.5e-05,4.1e-05,4.3e-05,4.1e-05,4.3e-05,4.1e-05,4.8e-05,4e-05,4e-05,4.3e-05,4.5e-05,3.8e-05,4.2e-05,4.4e-05,4.6e-05,4.3e-05,4e-05,4.2e-05,37,42,40,41,20,47,39,41,44,49,40,39,45,41,43,41,43,41,48,40,40,43,45,38,42,44,46,43,40,42,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",2.7e-05,3.4e-05,3e-05,3.1e-05,2.8e-05,3e-05,2.6e-05,2.9e-05,2.8e-05,2.6e-05,2.9e-05,2.8e-05,2.8e-05,2.3e-05,2.6e-05,2.8e-05,2.4e-05,3.2e-05,2.8e-05,2.6e-05,3e-05,2.6e-05,2.9e-05,2.7e-05,2.7e-05,2.5e-05,3.3e-05,3.3e-05,2.6e-05,2.9e-05,27,34,30,31,28,30,26,29,28,26,29,28,28,23,26,28,24,32,28,26,30,26,29,27,27,25,33,33,26,29,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",2.2e-05,2e-05,1.8e-05,2.4e-05,2.1e-05,2.3e-05,1.9e-05,2.1e-05,1.9e-05,2.6e-05,2.2e-05,2.1e-05,1.8e-05,2.3e-05,1.9e-05,2.7e-05,2.2e-05,2.1e-05,2.2e-05,2.1e-05,2.3e-05,1.9e-05,2.1e-05,2.2e-05,2e-05,1.8e-05,2.1e-05,2.3e-05,2.1e-05,2.2e-05,22,20,18,24,21,23,19,21,19,26,22,21,18,23,19,27,22,21,22,21,23,19,21,22,20,18,21,23,21,22,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"17",1.9e-05,1.7e-05,1.6e-05,1.5e-05,1.5e-05,1.9e-05,1.6e-05,1.7e-05,1.6e-05,1.9e-05,1.4e-05,2.3e-05,1.5e-05,1.8e-05,1.6e-05,1.6e-05,1.5e-05,1.8e-05,1.4e-05,1.8e-05,1.7e-05,2e-05,2.1e-05,1.7e-05,1.6e-05,1.7e-05,1.4e-05,1.6e-05,1.6e-05,1.3e-05,19,17,16,15,15,19,16,17,16,19,14,23,15,9,16,16,15,18,14,18,17,20,21,17,16,17,14,16,16,13,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"18",1.4e-05,1.4e-05,1.3e-05,1.6e-05,1.6e-05,1.5e-05,1.3e-05,1.3e-05,1.1e-05,1.4e-05,1.3e-05,1.3e-05,1.4e-05,1.3e-05,1.6e-05,1e-05,1.3e-05,1.4e-05,1.4e-05,1.3e-05,1.3e-05,1.4e-05,1.1e-05,1.4e-05,1.5e-05,1.2e-05,1.2e-05,1.2e-05,1.4e-05,1.3e-05,14,14,13,16,16,15,13,13,11,14,13,13,14,13,16,10,13,14,14,13,13,14,11,14,15,12,12,12,14,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"19",1.3e-05,1.1e-05,1.1e-05,1e-05,1.2e-05,1e-05,1.2e-05,1.1e-05,1.3e-05,1.1e-05,1.4e-05,1.1e-05,9e-06,1e-05,1e-05,1.1e-05,1.3e-05,1.2e-05,9e-06,1.2e-05,9e-06,1e-05,1.4e-05,1.1e-05,1.2e-05,9e-06,1.2e-05,1e-05,1.2e-05,1.4e-05,13,11,11,10,12,10,12,11,13,5.5,14,11,9,10,10,11,13,12,9,12,9,10,14,11,12,9,12,10,12,14,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"20",1.1e-05,8e-06,1.1e-05,1e-05,1e-05,1e-05,9e-06,8e-06,1.3e-05,1.1e-05,1e-05,1e-05,1e-05,1e-05,1.2e-05,1e-05,1e-05,8e-06,1.4e-05,1.1e-05,8e-06,1.1e-05,1.2e-05,1e-05,1e-05,1.1e-05,1e-05,1.1e-05,1e-05,1.3e-05,11,8,11,10,10,10,9,8,13,11,10,10,10,10,12,10,10,8,14,11,8,11,12,10,10,11,10,11,10,13,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"21",9e-06,9e-06,8e-06,1.2e-05,1e-05,1.1e-05,1e-05,8e-06,7e-06,1.4e-05,9e-06,8e-06,1e-05,9e-06,1.1e-05,9e-06,1.1e-05,8e-06,9e-06,1e-05,7e-06,8e-06,9e-06,7e-06,1.1e-05,7e-06,1e-05,1.2e-05,6e-06,1.1e-05,9,9,8,12,5,11,10,8,7,14,9,8,10,9,11,9,11,8,9,10,7,8,9,7,11,7,10,12,6,11,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"22",8e-06,7e-06,8e-06,9e-06,8e-06,7e-06,6e-06,8e-06,8e-06,1e-05,8e-06,8e-06,8e-06,9e-06,8e-06,8e-06,6e-06,1.1e-05,8e-06,9e-06,6e-06,8e-06,8e-06,8e-06,9e-06,6e-06,8e-06,7e-06,8e-06,5e-06,8,7,8,9,8,7,6,8,8,10,8,8,8,9,8,8,6,11,8,9,6,8,8,8,9,6,8,7,8,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"23",1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1.000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"24",4.8e-05,4.6e-05,5e-05,4.5e-05,4.7e-05,4.7e-05,4.8e-05,4.6e-05,4.7e-05,4.5e-05,4.8e-05,4.7e-05,4.6e-05,4.8e-05,4.6e-05,4.8e-05,4.7e-05,4.7e-05,4.6e-05,4.8e-05,4.9e-05,4.5e-05,4.7e-05,4.9e-05,4.8e-05,4.9e-05,4.7e-05,4.7e-05,4.8e-05,4.7e-05,48,46,50,45,47,47,48,46,47,45,48,47,46,48,46,48,47,47,46,48,49,45,47,49,48,49,47,47,48,47,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"25",2.3e-05,2.3e-05,2.2e-05,2.3e-05,2.3e-05,2.2e-05,2.3e-05,2.2e-05,2.3e-05,2.3e-05,2.4e-05,2.4e-05,2.4e-05,2.3e-05,2.5e-05,2.4e-05,2.2e-05,2.5e-05,2.3e-05,2.4e-05,2.4e-05,2.4e-05,2.4e-05,2.2e-05,2.4e-05,2.5e-05,2.4e-05,2.5e-05,2.3e-05,2.3e-05,23,23,22,23,23,22,23,22,23,23,24,24,24,23,25,24,22,25,23,24,24,24,24,22,24,25,24,25,23,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",1.5e-05,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.6e-05,1.4e-05,1.4e-05,1.4e-05,1.6e-05,1.7e-05,1.5e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.6e-05,1.5e-05,1.5e-05,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.5e-05,1.6e-05,1.6e-05,1.5e-05,1.5e-05,1.6e-05,1.6e-05,15,15,16,15,16,16,14,14,14,16,17,15,16,16,16,16,16,15,15,15,16,15,16,15,16,16,15,15,16,16,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"27",1.3e-05,1.2e-05,1.3e-05,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1e-05,1.2e-05,1.2e-05,1.2e-05,1.3e-05,1.1e-05,1.2e-05,1.1e-05,1e-05,1.1e-05,1.3e-05,1.2e-05,1.1e-05,1.3e-05,1.1e-05,1.2e-05,1.1e-05,1.1e-05,1.1e-05,1.2e-05,1.1e-05,1.2e-05,1.1e-05,13,12,13,11,12,11,12,10,12,12,12,13,11,12,11,10,11,13,12,11,13,11,12,11,11,11,12,11,12,11,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",9e-06,9e-06,9e-06,8e-06,9e-06,9e-06,9e-06,8e-06,1e-05,9e-06,9e-06,8e-06,8e-06,8e-06,9e-06,9e-06,1e-05,9e-06,9e-06,8e-06,8e-06,9e-06,8e-06,1e-05,9e-06,9e-06,8e-06,9e-06,8e-06,9e-06,9,9,9,8,9,9,9,8,10,9,9,8,8,8,9,9,10,9,9,8,8,9,8,10,9,9,8,9,8,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
