"","sigma","mu1","mu2","delta","Delta_B1ELT","Delta_B1ERT","Delta_B1sym","rbar1_sharpELT","rbar1_sharpERT","rbar1_sharpsym","rbar1ELT","rbar1ERT","rbar1sym","rbar2_sharpELT","rbar2_sharpERT","rbar2_sharpsym","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"1214",0.8,0.4,0.3,0.3,0.0128782200286566,0.012822708635167,0.0130301102497734,0.158988139055842,0.158805897197427,0.158804033545,0.0474854648535493,0.0474322989547851,0.0476533801573879,0.12438089423095,0.124196306877809,0.124180763637386,0.0001252,0.0001507,0.0001607,80.175,57.3025,75.93,2.2,3.4,2.8
"1215",0.8,0.4,0.3,0.4,0.0163867913271331,0.0162320259610274,0.0167637015178662,0.180000172635978,0.180190843698896,0.179928611751924,0.0593508788242611,0.059371995535052,0.0596438515737013,0.137036085138849,0.137050874124871,0.137048461696089,0.0001093,0.0001025,0.0001121,48.1380952380952,45.9722222222222,60.765,2.8,2.9,2.2
"1216",0.8,0.4,0.3,0.5,0.0187094298597768,0.0184446160758193,0.018849052951249,0.192077716750294,0.192118092978536,0.19232963791082,0.0696857290581135,0.0695177609514801,0.0699545217784656,0.141101417551957,0.141044948102875,0.141224169083603,9.08e-05,6.83e-05,6.76e-05,25.13,49.5083333333333,36.6433333333333,4.2,1.8,2.3
"1217",0.8,0.4,0.3,0.6,0.0197223001538701,0.0199223765625581,0.0200315087663002,0.196008350582846,0.195913583821917,0.19601239090368,0.0785616231820369,0.0787705070463601,0.0790063574397466,0.13716902755468,0.137065453338115,0.137037542230233,7.12e-05,7.24e-05,7.91e-05,61.2,53.8166666666667,40.68,1.4,1.5,2.1
"1218",0.8,0.4,0.3,0.7,0.0192328312417471,0.0190836400753531,0.0192378992674906,0.191084933640916,0.191353375296407,0.191589334646904,0.0864406392475299,0.0862339591674648,0.0863654285524325,0.123877125635133,0.124203056204295,0.124461805361962,5.62e-05,5.06e-05,3.84e-05,33.2214285714286,38.9833333333333,22.55,2.2,1.4,1.8
"1219",0.8,0.4,0.3,0.8,0.0164807095132001,0.0164799153181194,0.0164975422735951,0.176834378336712,0.177240571388499,0.177175915122259,0.0925522802188938,0.0924559408640025,0.0925167351497959,0.100762807631018,0.101264545842616,0.101156722246058,4.75e-05,4.31e-05,4.46e-05,34.9,30.8416666666667,29.03,1.6,1.7,1.7
"1220",0.8,0.4,0.3,0.9,0.0107129136506188,0.0108047920076787,0.0107399456782958,0.149814461069864,0.149201098049538,0.149531119671173,0.0970531231264122,0.0970703358525329,0.0969559064690677,0.0634742515940706,0.0629355542046834,0.0633151588804014,4.94e-05,4.13e-05,4.56e-05,39.1,21.475,30.05,1.3,2.2,1.6
"1221",0.8,0.4,0.3,1,-3.04654787669675e-05,0.000173457869650466,-0.000109175033547408,0.0996191153189977,0.100574739556441,0.100561004913866,0.0998759416714728,0.100045338694095,0.099930434370237,-0.000287291831241979,0.00070285873199664,0.000521395510081728,2.99e-05,5.36e-05,4.98e-05,26.3,26.5333333333333,35.22,1.2,2.8,1.9
"1222",0.8,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"1223",0.8,0.4,0.4,0.1,0.0071881183991199,0.00721949356419734,0.0070358931215177,0.0634542209582564,0.0634453921783675,0.0635101739950144,0.00719527717511899,0.00719168320254778,0.0070332692140742,0.0634470621822573,0.0634732025400171,0.0635127979024579,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"1224",0.8,0.4,0.4,0.2,0.012319707667355,0.0123190078126772,0.0122534040123078,0.100947364476779,0.101104341077199,0.10090796986788,0.0123312001347036,0.0123761938134572,0.0122934840448488,0.100935872009431,0.101047155076419,0.100867889835339,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
"1225",0.8,0.4,0.4,0.3,0.0158363451513134,0.0159342348144148,0.016023915707893,0.124070949453167,0.124137962179388,0.123944095856572,0.0158055503971304,0.0158734572490019,0.0159453358198045,0.12410174420735,0.1241987397448,0.124022675744661,0.0009979,0.0009951,0.001001,899.35,924.3,1001,1.2,1.3,1
"1226",0.8,0.4,0.4,0.4,0.0177939878541182,0.0179497960167584,0.0180783944085176,0.13697166771833,0.136878144462498,0.137176347080719,0.017831204395827,0.0178788318301703,0.0181319672986646,0.136934451176621,0.136949108649086,0.137122774190572,0.0009484,0.0009822,0.0009865,646.9375,644.892857142857,675.284166666667,2.5,2.6,3.1
"1227",0.8,0.4,0.4,0.5,0.0185614721018997,0.0185088141086293,0.0190188995471215,0.141547741657847,0.141329677235324,0.141146494278539,0.0185486747731148,0.0185534815029274,0.0189455989479194,0.141560538986632,0.141285009841026,0.141219794877742,0.0009308,0.0009797,0.0008772,482.3,542.60303030303,430.841040821923,3.1,3.9,10.7
"1228",0.8,0.4,0.4,0.6,0.0178610496245185,0.0178529947649695,0.0181637227688904,0.137120809513191,0.137061156373181,0.137216603106237,0.0178658599920543,0.0178357284891363,0.0181370080745078,0.137115999145655,0.137078422649014,0.137243317800619,0.0009253,0.0008401,0.0007806,202.017579365079,174.935744116994,102.311281033781,5.8,9.8,11.5
"1229",0.8,0.4,0.4,0.7,0.0156911798122731,0.0159844131659552,0.0157818569307868,0.123931293025191,0.123992632493051,0.123908582545032,0.0157198978998018,0.0157628144745929,0.0158518021371285,0.123902574937662,0.124214231184414,0.12383863733869,0.0007255,0.0007043,0.0007986,170.893932178932,74.857560051461,61.0587515262515,9.7,13.2,15.2
"1230",0.8,0.4,0.4,0.8,0.0122345529176202,0.0123319736136864,0.0121895482086362,0.101116379607088,0.100966199590786,0.101269110533854,0.0123441340667196,0.0123205668331465,0.01225677465847,0.101006798457989,0.100977606371326,0.10120188408402,0.0005129,0.000479,0.0006149,37.8638235798018,65.8210393772894,36.4539547944074,15,8.5,18
"1231",0.8,0.4,0.4,0.9,0.00735949338966879,0.00729035362914423,0.00696249620076284,0.0636300654873416,0.0635162434943625,0.0633084232042528,0.0072478536937502,0.00720844455237607,0.00696332354379017,0.0637417051832602,0.0635981525711307,0.0633075958612255,0.000468,0.0005212,0.0004509,32.0351433873144,36.3850491175491,26.26636002886,14.7,15.5,19.5
"1232",0.8,0.4,0.4,1,0.000260066191697173,0.000217171690198371,-0.000311560493426299,-0.000160951449077219,-8.30389094661893e-06,-0.000179980139805778,7.18864060685458e-05,0.000119490913322151,-0.000150517021996207,2.72283365514094e-05,8.93768859296007e-05,-0.000341023611235872,0.0003648,0.000319,0.0003481,32.3998088972431,34.9792063492064,37.8685784823285,11.8,10,17.1
"1233",0.8,0.4,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001001,0.001001,0.001001,1001,1001,1001,1,1,1
