"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"324",3.2,0.1,0.9,0.4,5.35e-05,4.72e-05,4.58e-05,11.0883838383838,11.4619444444444,9.01565826330532,4.9,5.4,5.6
"325",3.2,0.1,0.9,0.5,1.63e-05,1.67e-05,3.29e-05,7.84166666666667,7.86666666666667,7.3747619047619,2.2,2.2,4.2
"326",3.2,0.1,0.9,0.6,1.23e-05,1.27e-05,1.53e-05,7.03333333333333,8.6,8.47083333333333,1.8,1.6,2.3
"327",3.2,0.1,0.9,0.7,1.25e-05,1.12e-05,1.3e-05,6.98333333333333,5.78333333333333,6.6452380952381,1.9,2,2.3
"328",3.2,0.1,0.9,0.8,6.7e-06,1.01e-05,1.27e-05,3.79333333333333,5.99166666666667,9.05,1.7,1.9,1.7
"329",3.2,0.1,0.9,0.9,7.6e-06,6.6e-06,8e-06,5.2,5.45,6.53333333333333,1.4,1.3,1.4
"330",3.2,0.1,0.9,1,5.8e-06,8.4e-06,5.9e-06,5.05,3.60333333333333,5.05,1.1,2,1.2
"331",3.2,0.5,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"332",3.2,0.5,0.1,0.1,0.9602978,0.9608168,0.9973501,277.367484298843,277.679750251176,2213.41845855363,3465.4,3463,451.5
"333",3.2,0.5,0.1,0.2,0.8100597,0.8069342,0.9460086,55.9092581025287,55.6726079890272,117.409893342921,14492.1,14496.9,8057.9
"334",3.2,0.5,0.1,0.3,0.6279456,0.6266366,0.8298868,27.8954971691503,27.8556008532158,39.19232275302,22511.8,22497,21176.3
"335",3.2,0.5,0.1,0.4,0.4294266,0.4291108,0.6679724,18.0149571588031,18.0775968581673,20.8555871499458,23837.5,23738.4,32030.1
"336",3.2,0.5,0.1,0.5,0.2102767,0.2122917,0.4611739,13.1145826173145,13.1715631703394,13.4129127157761,16034.6,16118.9,34382.8
"337",3.2,0.5,0.1,0.6,0.0005561,0.0003879,0.2055911,11.61692891058,9.55674922497583,9.60852643270241,51.8,38.7,21394.4
"338",3.2,0.5,0.1,0.7,8.47e-05,5.2e-05,0.0001361,8.06848484848485,8.94423076923077,7.02255769517839,9.8,6.6,19.8
"339",3.2,0.5,0.1,0.8,2.89e-05,3.93e-05,4.15e-05,7.17797619047619,9.53603174603175,11.5166666666667,4.3,5.1,4.4
"340",3.2,0.5,0.1,0.9,2.81e-05,2.13e-05,1.92e-05,6.06,10.8440476190476,6.19833333333333,4.1,2.6,4.1
"341",3.2,0.5,0.1,1,9.8e-06,1.55e-05,8e-06,6,7.71666666666667,3.04166666666667,1.5,2,2.4
"342",3.2,0.5,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"343",3.2,0.5,0.5,0.1,1.000001,1.000001,1.0000005,1000001,1000001,933334.1,1,1,1.2
"344",3.2,0.5,0.5,0.2,0.9993262,0.9992889,0.9994101,8895.96311594581,8557.76148731873,5682.55162432616,113.4,117.4,176.1
"345",3.2,0.5,0.5,0.3,0.990019,0.9897234,0.9906452,634.483957552775,628.190366334205,379.008826377064,1561.4,1576.5,2614.9
"346",3.2,0.5,0.5,0.4,0.9591085,0.9591759,0.9597464,160.702232641046,160.456396527054,92.5352235207509,5969.2,5979.5,10373.4
"347",3.2,0.5,0.5,0.5,0.8999565,0.8994388,0.8999276,66.3207199752817,66.3012168886312,38.3931247439107,13569.9,13567.5,23441
"348",3.2,0.5,0.5,0.6,0.8135149,0.8128562,0.8101759,35.5982534794673,35.4110277261418,20.6517001820954,22853.1,22956.5,39231.8
"349",3.2,0.5,0.5,0.7,0.6954826,0.6961085,0.6872714,21.5525666322283,21.5485125273001,12.8454412908662,32270,32305.1,53503.9
"350",3.2,0.5,0.5,0.8,0.549505,0.5487653,0.5302771,14.2694877406204,14.2381205759895,8.70495630724225,38510.6,38542.3,60918.2
"351",3.2,0.5,0.5,0.9,0.3607077,0.36145,0.3265844,9.88618483281007,9.88967042037544,6.26241170863181,36486,36548.6,52149.3
"352",3.2,0.5,0.5,1,0.0022495,0.0016348,0.0018256,6.74270071960656,6.41524387657033,4.65584857701422,323,243.4,389
"353",3.2,0.5,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"354",3.2,0.5,0.9,0.1,0.9595014,0.9599565,0.9973392,276.7978204701,275.28038957994,2209.25442464713,3467.6,3488.6,454.6
"355",3.2,0.5,0.9,0.2,0.8085341,0.808176,0.9464497,55.3492939411573,55.746018559647,118.221851083419,14609.5,14499.7,8007.9
"356",3.2,0.5,0.9,0.3,0.6274989,0.625782,0.8295622,27.7375980801282,27.791347427222,39.2382804391102,22623.7,22519,21142.9
"357",3.2,0.5,0.9,0.4,0.4290939,0.4298464,0.6652235,18.023228472978,17.9887754134257,20.7552314899008,23807.7,23895,32051.7
"358",3.2,0.5,0.9,0.5,0.2145078,0.212417,0.4605818,13.1965147120234,13.2346580531531,13.4431685940325,16256.4,16050.7,34262.8
"359",3.2,0.5,0.9,0.6,0.0003308,0.0005076,0.2028364,10.736747668495,8.99655109124144,9.53614504231897,33,51.2,21267.9
"360",3.2,0.5,0.9,0.7,9.19e-05,8.25e-05,0.0002294,9.1610291858679,15.1230513784461,8.00571540948038,9.6,9.2,30.5
"361",3.2,0.5,0.9,0.8,5.57e-05,5.98e-05,4.36e-05,10.6833333333333,9.04,8.03333333333333,6.8,8.3,6.9
"362",3.2,0.5,0.9,0.9,2.14e-05,2.48e-05,1.92e-05,6.05666666666667,6.50888888888889,5.8630303030303,3.2,3.4,4.4
"363",3.2,0.5,0.9,1,1.08e-05,1.9e-05,8.8e-06,4.55666666666667,6.0547619047619,3.45,2.4,3.1,2.2
"364",3.2,0.9,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"365",3.2,0.9,0.1,0.1,0.4370108,0.4346178,0.5666324,25.2049433749588,25.2495949529856,31.4964122268558,17339.1,17214,17994.2
"366",3.2,0.9,0.1,0.2,0.1203841,0.1198763,0.1855467,13.4273443636775,13.4069666118247,13.9233105490518,8967,8940.2,13327.2
"367",3.2,0.9,0.1,0.3,9.53e-05,0.0001127,0.0001231,19.993431372549,11.2091052416052,17.9509351215234,5.7,11.9,10.6
"368",3.2,0.9,0.1,0.4,4.9e-05,5.59e-05,3.64e-05,16.8866666666667,12.5702525252525,12.7653846153846,3.4,5.5,3.7
"369",3.2,0.9,0.1,0.5,2.32e-05,2.32e-05,2.6e-05,8.88809523809524,11.9583333333333,9.735,2.8,2.3,3.3
"370",3.2,0.9,0.1,0.6,1.32e-05,1.5e-05,1.66e-05,7.83333333333333,7.00333333333333,7.28333333333333,1.8,2.4,2.8
"371",3.2,0.9,0.1,0.7,1.17e-05,9.6e-06,1.03e-05,5.595,6.85,5.81666666666667,2.2,1.6,1.7
"372",3.2,0.9,0.1,0.8,7.7e-06,1.33e-05,7.6e-06,5.135,6.66666666666667,5.7,1.8,1.9,1.5
"373",3.2,0.9,0.1,0.9,7.5e-06,5.6e-06,6.1e-06,5.85,3.85,4.58333333333333,1.4,1.6,1.5
"374",3.2,0.9,0.1,1,5.5e-06,6.3e-06,4.2e-06,3.31666666666667,4.96666666666667,3.225,1.6,1.4,1.3
"375",3.2,0.9,0.5,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"376",3.2,0.9,0.5,0.1,0.9603856,0.9612569,0.9972978,273.04342443785,281.066564063525,2223.58100484041,3520.3,3422.3,451.2
"377",3.2,0.9,0.5,0.2,0.8096145,0.8081505,0.9460352,55.8578320791226,55.5064378874577,118.161329535686,14497.8,14561,8009
"378",3.2,0.9,0.5,0.3,0.6256194,0.6244266,0.8304651,27.8500849384967,27.8616277999748,39.3114300907356,22465.1,22413.3,21127.8
"379",3.2,0.9,0.5,0.4,0.430499,0.4334101,0.6669419,18.0744791250447,18.0652934818326,20.9133030704009,23818.2,23991.2,31892.5
"380",3.2,0.9,0.5,0.5,0.2115169,0.2131049,0.4617956,13.1217026871552,13.1578869135252,13.4015502301683,16120.9,16195.6,34459.2
"381",3.2,0.9,0.5,0.6,0.0004329,0.000415,0.2049482,10.0566447073857,12.5558058765863,9.56987209845083,44.4,39.7,21417
"382",3.2,0.9,0.5,0.7,9.57e-05,7.55e-05,0.0001449,11.9023728705823,10.9696006144393,9.22548623901538,9.2,8.6,17.8
"383",3.2,0.9,0.5,0.8,3.44e-05,5.38e-05,3.43e-05,16.0666666666667,7.85660173160173,6.56880952380952,2.9,7.5,5
"384",3.2,0.9,0.5,0.9,2.51e-05,3.46e-05,2.14e-05,6.89472222222222,8.60535714285714,4.64494047619048,4.2,4.3,5.1
"385",3.2,0.9,0.5,1,1.45e-05,1.08e-05,1.18e-05,7.05166666666667,5.16666666666667,5.29714285714286,2.5,2.3,2.7
"386",3.2,0.9,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"387",3.2,0.9,0.9,0.1,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"388",3.2,0.9,0.9,0.2,0.9993263,0.9993568,0.9993729,9308.46441273761,9983.39217541068,5468.49844835378,111.6,102.7,186
"389",3.2,0.9,0.9,0.3,0.9899072,0.9899477,0.9904351,634.919587316363,645.726745002461,371.450485892541,1561,1534.9,2667.3
"390",3.2,0.9,0.9,0.4,0.9591879,0.9591534,0.9601183,160.565392616333,160.695275391239,92.5368027924651,5975.3,5971,10377.4
"391",3.2,0.9,0.9,0.5,0.9008361,0.8997644,0.8997525,66.5895528853828,66.2613206993607,38.3819378223914,13529.1,13581.3,23443.4
"392",3.2,0.9,0.9,0.6,0.8122972,0.8122143,0.8093293,35.3166344131605,35.4140834017243,20.6866235920726,23001.4,22936.1,39124.4
"393",3.2,0.9,0.9,0.7,0.6977924,0.6959201,0.6856578,21.6617917183058,21.5587803128819,12.7910466042682,32214.1,32281.2,53605.5
"394",3.2,0.9,0.9,0.8,0.5506365,0.5498852,0.5298835,14.2903755353227,14.23965277272,8.70127609213956,38533.2,38618.2,60898.2
"395",3.2,0.9,0.9,0.9,0.360854,0.3615747,0.3277835,9.88497930940955,9.89624308537407,6.27111064474618,36504.5,36537,52268
"396",3.2,0.9,0.9,1,0.0015732,0.0008987,0.0036009,6.89497444031465,6.398994693309,4.64033646941828,223.9,132.7,773
"397",6.4,0.1,0.1,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"398",6.4,0.1,0.1,0.1,1.000001,1.0000006,1.0000009,1000001,950000.75,950000.9,1,1.1,1.1
"399",6.4,0.1,0.1,0.2,0.9992314,0.9992518,0.9993066,6759.46195891884,6497.08309601211,3718.07073374159,149.7,156.5,269.9
"400",6.4,0.1,0.1,0.3,0.989108,0.9893064,0.9895684,472.668812090981,474.73259236928,255.083867563891,2094.3,2084.4,3880.8
"401",6.4,0.1,0.1,0.4,0.9577614,0.9577018,0.9584227,121.147629817884,120.516317518624,64.5739605117297,7906.8,7947.1,14843.5
"402",6.4,0.1,0.1,0.5,0.8993386,0.8995125,0.9000678,49.7368088016233,49.8129833251523,26.7265001721803,18082.6,18058.6,33677.8
