"","sigma","mu1","mu2","delta","co.fracELT","co.fracERT","co.fracsym","co.meanELT","co.meanERT","co.meansym","co.numELT","co.numERT","co.numsym"
"479",6.4,0.9,0.5,0.5,0.7573839,0.7571048,0.8636575,23.4744784900685,23.5156597010824,22.4533842577631,32264.6,32196.6,38465.7
"480",6.4,0.9,0.5,0.6,0.6538077,0.6539756,0.766863,15.5028111534848,15.5416535411685,12.6396785211026,42174,42079.3,60671.4
"481",6.4,0.9,0.5,0.7,0.5340194,0.5345128,0.6406425,10.6232212966264,10.618870715764,7.86968392725108,50269.4,50336.5,81406.8
"482",6.4,0.9,0.5,0.8,0.3868164,0.3869027,0.4791878,7.26604150689597,7.28923332621908,5.14983469347309,53235.9,53078.4,93049.7
"483",6.4,0.9,0.5,0.9,0.1908886,0.1905159,0.261826,5.00526088806209,5.01764966639819,3.53504505088833,38137.5,37968.4,74065.8
"484",6.4,0.9,0.5,1,1.81e-05,8.6e-06,1.71e-05,3.31174603174603,3.60833333333333,2.17584126984127,4.9,2.4,7.3
"485",6.4,0.9,0.9,0,1.000001,1.000001,1.000001,1000001,1000001,1000001,1,1,1
"486",6.4,0.9,0.9,0.1,1.000001,1.000001,1.0000006,1000001,1000001,875000.75,1,1,1.4
"487",6.4,0.9,0.9,0.2,0.9991752,0.9991821,0.9992426,6134.82925588928,6245.83035713983,3423.38835857804,163.7,160.6,292.9
"488",6.4,0.9,0.9,0.3,0.9892287,0.9892503,0.9897868,475.422482057212,475.239096767027,258.68606812406,2082,2083.5,3826.7
"489",6.4,0.9,0.9,0.4,0.9581862,0.9577831,0.9583721,121.829000795447,120.469505312557,64.7621286151777,7865.9,7952.6,14799.7
"490",6.4,0.9,0.9,0.5,0.900159,0.899367,0.8995548,50.0166324382214,49.9630355342883,26.6677051654296,17998.6,18003,33733
"491",6.4,0.9,0.9,0.6,0.8162041,0.8165749,0.8145029,26.1432065525772,26.1551392403169,14.104922587081,31221.5,31220.7,57746.7
"492",6.4,0.9,0.9,0.7,0.7079809,0.7088782,0.7026704,15.4524897851593,15.4596735953576,8.43671069298792,45817.1,45853.7,83287.8
"493",6.4,0.9,0.9,0.8,0.5683481,0.5681657,0.5619607,9.39576694204101,9.39088465363617,5.39571561588342,60490.1,60502.1,104150.1
"494",6.4,0.9,0.9,0.9,0.4055368,0.4073015,0.383256,6.28043717817205,6.28412085160447,3.64302450748627,64571.9,64814.4,105203.3
"495",6.4,0.9,0.9,1,0.0003409,0.0004914,0.0004374,3.911818190593,3.83757461942604,2.33912072725904,84.6,131,183.6
